IPO Date,Symbol,Company Name,IPO Price,Current,Return
10-Nov-22,SNAL,"Snail, Inc.",$5.00 ,$1.61 ,-67.80%
10-Nov-22,ASPI,ASP Isotopes Inc.,$4.00 ,$0.48 ,-88.13%
11-Nov-22,ATAT,Atour Lifestyle Holdings Limited,$11.00 ,$15.73 ,43.00%
15-Nov-22,ACRV,"Acrivon Therapeutics, Inc.",$12.50 ,$13.65 ,9.20%
9-Dec-22,JEWL,Adamas One Corp.,$4.50 ,$1.06 ,-76.44%
14-Dec-22,RAYA,Erayak Power Solution Group Inc.,$4.00 ,$2.24 ,-44.00%
20-Dec-22,LIPO,Lipella Pharmaceuticals Inc.,$5.75 ,$1.99 ,-65.39%
20-Dec-22,ATMV,AlphaVest Acquisition Corp,$10.00 ,$10.35 ,3.50%
22-Dec-22,HSPO,Horizon Space Acquisition I Corp.,$10.00 ,$10.39 ,3.90%
29-Dec-22,COYA,"Coya Therapeutics, Inc.",$5.00 ,$4.69 ,-6.20%
30-Dec-22,ATMC,AlphaTime Acquisition Corp,$10.00 ,$10.38 ,3.80%
